   Pwr.(w),TFR (mg/min),O2-Lo (cc/m),Temp(C),Pres.(torr),Space(mils),Total He Carrier (sccm),k value
960.0,5300.0,343.0,360.0,9.2,380.0,1225.0,2.848257538365626
650.0,3000.0,68.0,340.0,10.2,380.0,1475.0,3.245444063318657
1030.0,4800.0,58.0,380.0,4.7,380.0,550.0,3.953603308144981
920.0,4800.0,438.0,380.0,4.7,380.0,1125.0,3.080941571916882
500.0,4700.0,53.0,380.0,8.2,380.0,1200.0,3.749116687631
960.0,4600.0,408.0,380.0,7.7,380.0,725.0,3.2611150582207973
410.0,2300.0,63.0,360.0,7.7,380.0,1450.0,3.1368221967991756
600.0,5000.0,78.0,380.0,6.7,380.0,800.0,3.3645529057624746
620.0,1200.0,283.0,380.0,5.2,380.0,1200.0,4.054958295154251
490.0,1100.0,168.0,300.0,8.2,380.0,600.0,3.2222900438260424
760.0,3200.0,118.0,320.0,9.7,380.0,950.0,3.6855925194229666
810.0,3200.0,58.0,340.0,9.7,380.0,1000.0,2.7736059845740653
1040.0,600.0,303.0,280.0,10.2,380.0,1000.0,2.9949959482135586
460.0,2300.0,53.0,340.0,8.2,380.0,625.0,3.4629527424962725
820.0,4200.0,33.0,380.0,5.7,380.0,1175.0,3.8028231827467507
1020.0,4500.0,103.0,320.0,8.7,380.0,1375.0,3.2300149720723965
630.0,4900.0,18.0,320.0,10.2,380.0,1250.0,3.5161936243101355
900.0,4900.0,73.0,340.0,9.2,380.0,1125.0,3.068427493982315
450.0,2700.0,38.0,380.0,8.2,380.0,800.0,3.7098612667266937
1030.0,5400.0,58.0,340.0,10.2,380.0,1300.0,3.5642740070766674
630.0,4900.0,33.0,380.0,5.7,380.0,575.0,3.7392310802536954
280.0,2400.0,48.0,380.0,7.2,380.0,1475.0,3.288761602465307
840.0,3900.0,178.0,360.0,9.7,380.0,1075.0,3.3390204859739936
860.0,1200.0,228.0,320.0,8.2,380.0,775.0,3.145020643797257
410.0,5000.0,13.0,380.0,5.7,380.0,625.0,3.4521477822585176
330.0,3900.0,73.0,380.0,7.7,380.0,1200.0,3.2972712534716972
540.0,4400.0,113.0,380.0,5.2,380.0,775.0,3.028294879392905
770.0,1600.0,143.0,320.0,9.2,380.0,975.0,2.9723597140289817
750.0,3100.0,208.0,360.0,8.7,380.0,1375.0,3.2905739103722578
610.0,1600.0,173.0,360.0,9.7,380.0,725.0,3.256469262928474
1010.0,1000.0,218.0,320.0,4.7,380.0,1250.0,4.032966860354467
340.0,1200.0,78.0,320.0,6.2,380.0,750.0,3.6854420395349776
540.0,1200.0,83.0,300.0,10.2,380.0,1325.0,3.5590258405574433
960.0,1000.0,153.0,300.0,9.2,380.0,750.0,2.9800326364979015
1010.0,800.0,113.0,320.0,8.2,380.0,775.0,3.7079396342749207
640.0,3800.0,13.0,340.0,10.2,380.0,850.0,3.4723565017318894
1020.0,5300.0,408.0,320.0,9.7,380.0,1050.0,3.5152862532328073
640.0,3600.0,13.0,300.0,10.2,380.0,950.0,3.4949386526443704
690.0,4500.0,43.0,380.0,8.2,380.0,1075.0,3.630685769382426
800.0,4200.0,48.0,360.0,8.2,380.0,975.0,3.125232001489041
950.0,1200.0,18.0,380.0,4.7,380.0,1075.0,3.840511635184039
830.0,4700.0,43.0,380.0,4.7,380.0,1250.0,3.0727380755405282
990.0,4400.0,298.0,320.0,5.2,380.0,925.0,3.1178399251718067
800.0,4700.0,123.0,380.0,5.2,380.0,1425.0,3.79974106677489
650.0,1400.0,153.0,280.0,8.7,380.0,650.0,2.8515280215992016
900.0,3700.0,88.0,320.0,9.2,380.0,1150.0,3.1883065758264317
840.0,2300.0,23.0,380.0,7.7,380.0,1475.0,3.568885056548782
640.0,4400.0,93.0,380.0,6.2,380.0,475.0,3.829210117511224
1010.0,5200.0,258.0,320.0,9.2,380.0,1175.0,3.676867721366552
520.0,1600.0,83.0,380.0,10.2,380.0,775.0,3.4056680612697807
900.0,900.0,153.0,380.0,4.7,380.0,1300.0,3.3690531357620843
630.0,2600.0,198.0,340.0,7.7,380.0,1425.0,3.7415168039399376
920.0,3200.0,118.0,320.0,9.7,380.0,575.0,3.7042980631877698
1000.0,1000.0,188.0,380.0,5.2,380.0,1125.0,3.606326913033468
770.0,1000.0,93.0,300.0,7.7,380.0,1000.0,3.368533641558019
390.0,3800.0,173.0,380.0,4.7,380.0,1400.0,3.527761219371429
860.0,3900.0,308.0,380.0,7.7,380.0,1075.0,3.0909304491032437
970.0,4800.0,23.0,320.0,9.7,380.0,1475.0,3.0793584334356656
750.0,3300.0,143.0,360.0,9.2,380.0,1125.0,3.2649944773779405
780.0,5300.0,123.0,380.0,4.7,380.0,700.0,3.2597364769754194
620.0,4200.0,88.0,340.0,8.7,380.0,1475.0,3.4639330992532575
780.0,3500.0,28.0,340.0,9.7,380.0,1025.0,3.290556246212684
390.0,4000.0,18.0,300.0,8.2,380.0,1475.0,3.7462722466811513
840.0,4600.0,68.0,340.0,8.2,380.0,1275.0,2.76846744022434
460.0,4000.0,153.0,380.0,6.7,380.0,1150.0,3.2996054821008016
450.0,1200.0,113.0,380.0,7.2,380.0,775.0,3.632121466413522
650.0,3600.0,38.0,360.0,8.7,380.0,1300.0,3.2273794373010114
760.0,4500.0,58.0,320.0,9.7,380.0,1325.0,2.8940250824673117
980.0,5400.0,368.0,320.0,9.2,380.0,925.0,2.8231635775337205
390.0,2500.0,83.0,380.0,7.7,380.0,825.0,3.3043617479754586
850.0,3500.0,128.0,320.0,10.2,380.0,1475.0,3.7113577959470763
410.0,1200.0,218.0,320.0,9.2,380.0,900.0,2.9203696790838136
710.0,2900.0,23.0,320.0,10.2,380.0,1425.0,3.6439720634967183
810.0,4300.0,183.0,380.0,4.7,380.0,825.0,3.6752038155229183
870.0,1600.0,53.0,300.0,10.2,380.0,700.0,2.904793904844027
